Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name
DITM-000530,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018234,,0017F00001ueIkz,Supplier,1/07/2025,"885 Mountain Highway,",Bayswater,VIC,3153,SM-000524,Critical Minerals
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018235,,0017F00001ueJZy,Supplier,1/07/2025, 5 Caribbean Drive,Scoresby,VIC,3179,,
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018233,,0019s000003x15k,Supplier,1/07/2025,4 Kings Road,New Lambton,NSW,2305,,
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018230,,0019s000005Cl7e,Supplier,1/07/2025,Bapaume Road,MooreBank,NSW,2170,,
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018231,,001On00000De6f9,Supplier,1/07/2025,"220 Sutton St,",Delacombe,VIC,3356,,
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018232,,001On00000JfaSS,Supplier,1/07/2025,"96-106 Grand Trunkway,",Gillman ,SA,5013,,
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018229,,001On00000OCsrr,Manufacturer,1/07/2025,"321 Learmonth Rd,",Mitchell Park,VIC,3355,,
Subtotal,Count,7,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000529,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-011039,,001On000008gdBi,Manufacturer,1/07/2025,"6/176 Colchester Rd,",Bayswater North,VIC,3153,SM-000521,Critical Minerals
,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-011041,,001On00000F57Ep,Manufacturer,1/07/2025,1/1 Civic Avenue,Singleton,NSW,2330,,
,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-018221,,001On00000OCssK,Manufacturer,1/07/2025,"1 Lucca Rd,",Wyong,NSW,2259,,
,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-018223,,001On00000OCssL,Manufacturer,1/07/2025,"Factory 2/63-71 Bayfield Rd E,",Bayswater North,VIC,3153,,
,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-018224,,001On00000OCssM,Manufacturer,1/07/2025,"171 Derrimut Dr,",Derrimut,VIC,3026,,
Subtotal,Count,5,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000528,,tanks,ITM-002397,Precipitation Tanks,OC-011035,,001On0000021DqB,Manufacturer,1/07/2025,4 Industrial Court,Irymple,VIC,3498,SM-000515,Critical Minerals
Subtotal,Count,1,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000527,,tanks,ITM-002397,Leach Reactors/Tanks,OC-018199,,001On00000OCssA,Manufacturer,1/07/2025,"Level 25, 177 Pacific Highway,",North Sydney,NSW,2060,SM-000514,Critical Minerals
,,tanks,ITM-002397,Leach Reactors/Tanks,OC-018200,,001On00000OCssB,Manufacturer,1/07/2025,16 Nautical Drive,Henderson,WA,6166,,
,,tanks,ITM-002397,Leach Reactors/Tanks,OC-018201,,001On00000OCssC,Manufacturer,1/07/2025,"Level 5/1 Adelaide Terrace,",East Perth,WA,6004,,
,,tanks,ITM-002397,Leach Reactors/Tanks,OC-018202,,001On00000OCssD,Supplier,1/07/2025,"Level 2 - 4, 179 Grey St,",South Bank,QLD,4104,,
Subtotal,Count,4,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000526,,filters,ITM-009395,Filter Presses (for hydromet residues),OC-018196,,001On00000OCsrh,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,SM-000512,Critical Minerals
,,filters,ITM-009395,Filter Presses (for hydromet residues),OC-018193,,001On00000OCsrp,Supplier,1/07/2025,"67 Randle Rd,",Pinkenba,QLD,4008,,
,,filters,ITM-009395,Filter Presses (for hydromet residues),OC-018195,,001On00000OCss2,Supplier,1/07/2025,"27 Kalinya Close,",Cameron Park,NSW,2285,,
,,filters,ITM-009395,Filter Presses (for hydromet residues),OC-018194,,001On00000OCss7,Supplier,1/07/2025,"Level 1, 40 Oxley Street,",St Leonards,NSW,2065,,
Subtotal,Count,4,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000525,,clarifier,ITM-004221,Thickeners and Clarifiers,OC-018187,,001On00000OCsrh,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,SM-000510,Critical Minerals
,,clarifier,ITM-004221,Thickeners and Clarifiers,OC-018189,,001On00000OCsrp,Supplier,1/07/2025,"67 Randle Rd,",Pinkenba,QLD,4008,,
,,clarifier,ITM-004221,Thickeners and Clarifiers,OC-018188,,001On00000OCss2,Supplier,1/07/2025,"27 Kalinya Close,",Cameron Park,NSW,2285,,
,,clarifier,ITM-004221,Thickeners and Clarifiers,OC-018190,,001On00000OCss4,Supplier,1/07/2025,"Level 29, 2 Chifley Square,",Sydney,NSW,2000,,
Subtotal,Count,4,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000524,,hydraulics - pumps,ITM-001591,Slurry Pumps (e.g. Warman-type),OC-018186,,0019s000006pATp,Supplier,1/07/2025,"13 Hawkins Cresent,",Bundama,QLD,4304,SM-000509,Critical Minerals
,,hydraulics - pumps,ITM-001591,Slurry Pumps (e.g. Warman-type),OC-018182,,001On00000JfSrF,Manufacturer,1/07/2025,10-14  Shipwright Road,Largs North,SA,5016,,
,,hydraulics - pumps,ITM-001591,Slurry Pumps (e.g. Warman-type),OC-018184,,001On00000OCsrh,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,,
,,hydraulics - pumps,ITM-001591,Slurry Pumps (e.g. Warman-type),OC-018183,,001On00000OCsri,Manufacturer,1/07/2025,"1 Marden Street,",Artarmon,NSW,2064,,
,,hydraulics - pumps,ITM-001591,Slurry Pumps (e.g. Warman-type),OC-018185,,001On00000OCss2,Supplier,1/07/2025,"27 Kalinya Close,",Cameron Park,NSW,2285,,
Subtotal,Count,5,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000523,,filters,ITM-009395,Disc or Pressure Filters,OC-018174,,001On00000Im8Vm,Supplier,1/07/2025,"Level 26, 44 Market Street,",Sydney,NSW,2000,SM-000507,Critical Minerals
,,filters,ITM-009395,Disc or Pressure Filters,OC-018168,,001On00000OCsrh,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,,
,,filters,ITM-009395,Disc or Pressure Filters,OC-018173,,001On00000OCsrp,Supplier,1/07/2025,"67 Randle Rd,",Pinkenba,QLD,4008,,
,,filters,ITM-009395,Disc or Pressure Filters,OC-018169,,001On00000OCsry,Supplier,1/07/2025,"7 Dougall Street,",Byford,WA,6122,,
,,filters,ITM-009395,Disc or Pressure Filters,OC-018170,,001On00000OCsrz,Supplier,1/07/2025,"37 Colemans Rd,",Carrum Downs,VIC,3201,,
