Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name,Formatted_Address,Latitude,Longitude,Geocoding_Service,Geocoding_Status
DITM-000530,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018234,,0017F00001ueIkz,Supplier,1/07/2025,"885 Mountain Highway,",Bayswater,VIC,3153,SM-000524,Critical Minerals,"885 Mountain Highway, Bayswater, VIC, 3153",-37.8377841,145.2801042,nominatim,success
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018235,,0017F00001ueJZy,Supplier,1/07/2025, 5 Caribbean Drive,Scoresby,VIC,3179,,,"5 Caribbean Drive, Scoresby, VIC, 3179",-37.9032705,145.2250428,nominatim,success
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018233,,0019s000003x15k,Supplier,1/07/2025,4 Kings Road,New Lambton,NSW,2305,,,"4 Kings Road, New Lambton, NSW, 2305",-32.9280217,151.7227659,nominatim,success
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018230,,0019s000005Cl7e,Supplier,1/07/2025,Bapaume Road,MooreBank,NSW,2170,,,"Bapaume Road, MooreBank, NSW, 2170",-33.9426571,150.923139,nominatim,success
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018231,,001On00000De6f9,Supplier,1/07/2025,"220 Sutton St,",Delacombe,VIC,3356,,,"220 Sutton St, Delacombe, VIC, 3356",-37.5744488,143.8279784,nominatim,success
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018232,,001On00000JfaSS,Supplier,1/07/2025,"96-106 Grand Trunkway,",Gillman ,SA,5013,,,"96-106 Grand Trunkway, Gillman, SA, 5013",-34.8256875,138.5203579,nominatim,success
,,instrumentation,ITM-002348,Process control & instrumentation (PLC/SCADA),OC-018229,,001On00000OCsrr,Manufacturer,1/07/2025,"321 Learmonth Rd,",Mitchell Park,VIC,3355,,,"321 Learmonth Rd, Mitchell Park, VIC, 3355",-37.5238985,143.8079387,nominatim,success
Subtotal,Count,7,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,,,,,,skipped
DITM-000529,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-011039,,001On000008gdBi,Manufacturer,1/07/2025,"6/176 Colchester Rd,",Bayswater North,VIC,3153,SM-000521,Critical Minerals,"6/176 Colchester Rd, Bayswater North, VIC, 3153",-37.8209487,145.3043785,nominatim,success
,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-011041,,001On00000F57Ep,Manufacturer,1/07/2025,1/1 Civic Avenue,Singleton,NSW,2330,,,"1/1 Civic Avenue, Singleton, NSW, 2330",-32.5580123,151.177767,nominatim,success
,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-018221,,001On00000OCssK,Manufacturer,1/07/2025,"1 Lucca Rd,",Wyong,NSW,2259,,,"1 Lucca Rd, Wyong, NSW, 2259",-33.2631319,151.4432786,nominatim,success
,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-018223,,001On00000OCssL,Manufacturer,1/07/2025,"Factory 2/63-71 Bayfield Rd E,",Bayswater North,VIC,3153,,,"Factory 2/63-71 Bayfield Rd E, Bayswater North, VIC, 3153",-37.8231956,145.2778411,photon,success
