organisationCapability,organisationId,itemId,detailedItemId,capabilityType,validationDate,sectorMappingId
OC-018234,0017F00001UEIKZ,ITM-002348,DITM-000530,Supplier,2025-07-01,SM-000524
OC-018235,0017F00001UEJZY,ITM-002348,DITM-000530,Supplier,2025-07-01,SM-000524
OC-018233,0019S000003X15K,ITM-002348,DITM-000530,Supplier,2025-07-01,SM-000524
OC-018230,0019S000005CL7E,ITM-002348,DITM-000530,Supplier,2025-07-01,SM-000524
OC-018231,001ON00000DE6F9,ITM-002348,DITM-000530,Supplier,2025-07-01,SM-000524
OC-018232,001ON00000JFASS,ITM-002348,DITM-000530,Supplier,2025-07-01,SM-000524
OC-018229,001ON00000OCSRR,ITM-002348,DITM-000530,Manufacturer,2025-07-01,SM-000524
OC-011039,001ON000008GDBI,ITM-002726,DITM-000529,Manufacturer,2025-07-01,SM-000521
OC-011041,001ON00000F57EP,ITM-002726,DITM-000529,Manufacturer,2025-07-01,SM-000521
OC-018221,001ON00000OCSSK,ITM-002726,DITM-000529,Manufacturer,2025-07-01,SM-000521
OC-018223,001ON00000OCSSL,ITM-002726,DITM-000529,Manufacturer,2025-07-01,SM-000521
OC-018224,001ON00000OCSSM,ITM-002726,DITM-000529,Manufacturer,2025-07-01,SM-000521
OC-011035,001ON0000021DQB,ITM-002397,DITM-000528,Manufacturer,2025-07-01,SM-000515
OC-018199,001ON00000OCSSA,ITM-002397,DITM-000527,Manufacturer,2025-07-01,SM-000514
OC-018200,001ON00000OCSSB,ITM-002397,DITM-000527,Manufacturer,2025-07-01,SM-000514
OC-018201,001ON00000OCSSC,ITM-002397,DITM-000527,Manufacturer,2025-07-01,SM-000514
OC-018202,001ON00000OCSSD,ITM-002397,DITM-000527,Supplier,2025-07-01,SM-000514
OC-018196,001ON00000OCSRH,ITM-009395,DITM-000526,Supplier,2025-07-01,SM-000512
OC-018193,001ON00000OCSRP,ITM-009395,DITM-000526,Supplier,2025-07-01,SM-000512
OC-018195,001ON00000OCSS2,ITM-009395,DITM-000526,Supplier,2025-07-01,SM-000512
OC-018194,001ON00000OCSS7,ITM-009395,DITM-000526,Supplier,2025-07-01,SM-000512
OC-018187,001ON00000OCSRH,ITM-004221,DITM-000525,Supplier,2025-07-01,SM-000510
OC-018189,001ON00000OCSRP,ITM-004221,DITM-000525,Supplier,2025-07-01,SM-000510
OC-018188,001ON00000OCSS2,ITM-004221,DITM-000525,Supplier,2025-07-01,SM-000510
OC-018190,001ON00000OCSS4,ITM-004221,DITM-000525,Supplier,2025-07-01,SM-000510
OC-018186,0019S000006PATP,ITM-001591,DITM-000524,Supplier,2025-07-01,SM-000509
OC-018182,001ON00000JFSRF,ITM-001591,DITM-000524,Manufacturer,2025-07-01,SM-000509
OC-018184,001ON00000OCSRH,ITM-001591,DITM-000524,Supplier,2025-07-01,SM-000509
OC-018183,001ON00000OCSRI,ITM-001591,DITM-000524,Manufacturer,2025-07-01,SM-000509
OC-018185,001ON00000OCSS2,ITM-001591,DITM-000524,Supplier,2025-07-01,SM-000509
OC-018174,001ON00000IM8VM,ITM-009395,DITM-000523,Supplier,2025-07-01,SM-000507
OC-018168,001ON00000OCSRH,ITM-009395,DITM-000523,Supplier,2025-07-01,SM-000507
OC-018173,001ON00000OCSRP,ITM-009395,DITM-000523,Supplier,2025-07-01,SM-000507
OC-018169,001ON00000OCSRY,ITM-009395,DITM-000523,Supplier,2025-07-01,SM-000507
OC-018170,001ON00000OCSRZ,ITM-009395,DITM-000523,Supplier,2025-07-01,SM-000507
OC-018171,001ON00000OCSS0,ITM-009395,DITM-000523,Supplier,2025-07-01,SM-000507
OC-018172,001ON00000OCSS1,ITM-009395,DITM-000523,Supplier,2025-07-01,SM-000507
OC-018175,001ON00000OCSS2,ITM-009395,DITM-000523,Supplier,2025-07-01,SM-000507
OC-018165,001ON00000OCSRH,ITM-003566,DITM-000522,Supplier,2025-07-01,SM-000506
OC-018164,001ON00000OCSRV,ITM-003566,DITM-000522,Supplier,2025-07-01,SM-000506
OC-018166,001ON00000OCSRW,ITM-003566,DITM-000522,Supplier,2025-07-01,SM-000506
OC-018167,001ON00000OCSRX,ITM-003566,DITM-000522,Supplier,2025-07-01,SM-000506
OC-011018,001ON00000ALTJY,ITM-009354,DITM-000521,Manufacturer,2025-07-01,SM-000501
OC-018149,001ON00000OCSRH,ITM-009354,DITM-000521,Supplier,2025-07-01,SM-000501
OC-018150,001ON00000OCSRO,ITM-009354,DITM-000521,Supplier,2025-07-01,SM-000501
OC-018151,001ON00000OCSRP,ITM-009354,DITM-000521,Supplier,2025-07-01,SM-000501
OC-018138,001ON00000OCSRH,ITM-009354,DITM-000520,Supplier,2025-07-01,SM-000498
OC-018136,001ON00000OCSRJ,ITM-009354,DITM-000520,Supplier,2025-07-01,SM-000498
OC-018137,001ON00000OCSRK,ITM-009354,DITM-000520,Manufacturer,2025-07-01,SM-000498
OC-011010,001ON00000ALTJY,ITM-009354,DITM-000519,Manufacturer,2025-07-01,SM-000497
OC-018134,001ON00000BEX5Q,ITM-009354,DITM-000519,Supplier,2025-07-01,SM-000497
OC-018132,001ON00000OCSRN,ITM-009354,DITM-000519,Manufacturer,2025-07-01,SM-000497
OC-018133,001ON00000OCSRH,ITM-009354,DITM-000519,Supplier,2025-07-01,SM-000497
OC-018135,001ON00000OCSRI,ITM-009354,DITM-000519,Supplier,2025-07-01,SM-000497
OC-018122,001ON0000029W7I,ITM-004892,DITM-000518,Supplier,2025-07-01,SM-000495
OC-018123,001ON00000OCSRG,ITM-004892,DITM-000518,Supplier,2025-07-01,SM-000495
OC-018126,001ON00000OCSRH,ITM-004892,DITM-000518,Supplier,2025-07-01,SM-000495
OC-018124,001ON00000OCSRI,ITM-004892,DITM-000518,Supplier,2025-07-01,SM-000495
OC-018125,001ON00000OCSRK,ITM-004892,DITM-000518,Supplier,2025-07-01,SM-000495
OC-018127,001ON00000OCSRB,ITM-004892,DITM-000518,Supplier,2025-07-01,SM-000495
OC-018128,001ON00000OCSRC,ITM-004892,DITM-000518,Supplier,2025-07-01,SM-000495
OC-018120,001ON000001XA9W,ITM-002280,DITM-000517,Supplier,2025-07-01,SM-000494
OC-018118,001ON0000029W7I,ITM-002280,DITM-000517,Supplier,2025-07-01,SM-000494
OC-018119,001ON00000OCSRG,ITM-002280,DITM-000517,Supplier,2025-07-01,SM-000494
OC-018115,001ON00000OCSRD,ITM-002280,DITM-000517,Manufacturer,2025-07-01,SM-000494
OC-018116,001ON00000OCSRE,ITM-002280,DITM-000517,Manufacturer,2025-07-01,SM-000494
OC-018117,001ON00000OCSRF,ITM-002280,DITM-000517,Manufacturer,2025-07-01,SM-000494
OC-018121,001ON00000OCSRG,ITM-002280,DITM-000517,Supplier,2025-07-01,SM-000494
OC-018102,001ON0000029W7I,ITM-008243,DITM-000516,Supplier,2025-07-01,SM-000492
OC-018097,001ON00000OCSRW,ITM-008243,DITM-000516,Manufacturer,2025-07-01,SM-000492
OC-018098,001ON00000OCSRX,ITM-008243,DITM-000516,Manufacturer,2025-07-01,SM-000492
OC-018099,001ON00000OCSRY,ITM-008243,DITM-000516,Manufacturer,2025-07-01,SM-000492
OC-018100,001ON00000OCSRZ,ITM-008243,DITM-000516,Manufacturer,2025-07-01,SM-000492
OC-018101,001ON00000OCSRA,ITM-008243,DITM-000516,Manufacturer,2025-07-01,SM-000492
OC-018103,001ON00000OCSRB,ITM-008243,DITM-000516,Supplier,2025-07-01,SM-000492
OC-018104,001ON00000OCSRC,ITM-008243,DITM-000516,Supplier,2025-07-01,SM-000492
OC-018079,001ON00000OCSRL,ITM-009184,DITM-000515,Manufacturer,2025-07-01,SM-000489
OC-018080,001ON00000OCSRM,ITM-009184,DITM-000515,Manufacturer,2025-07-01,SM-000489
OC-018081,001ON00000OCSRN,ITM-009184,DITM-000515,Manufacturer,2025-07-01,SM-000489
OC-018082,001ON00000OCSRO,ITM-009184,DITM-000515,Manufacturer,2025-07-01,SM-000489
OC-010978,0017F00001UEIVK,ITM-001721,DITM-000514,Manufacturer,2025-06-01,SM-000486
OC-010973,0017F00001UEIVO,ITM-001721,DITM-000514,Manufacturer,2025-06-01,SM-000486
OC-010974,0017F00001UEIW3,ITM-001721,DITM-000514,Manufacturer,2025-06-01,SM-000486
OC-018061,001ON000002JKO5,ITM-001721,DITM-000514,Manufacturer,2025-06-01,SM-000486
OC-018066,001ON0000074VH8,ITM-001721,DITM-000514,Manufacturer,2025-06-01,SM-000486
OC-018060,001ON00000JFZVU,ITM-001721,DITM-000514,Manufacturer,2025-06-01,SM-000486
OC-018064,001ON00000JFAOT,ITM-001721,DITM-000514,Manufacturer,2025-06-01,SM-000486
OC-010976,001ON00000JFAVG,ITM-001721,DITM-000514,Manufacturer,2025-06-01,SM-000486
OC-018059,001ON00000OCSRF,ITM-001721,DITM-000514,Manufacturer,2025-06-01,SM-000486
OC-010969,0017F00001UEIVK,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-018053,0017F00001UEIVO,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-010875,001ON000002JKO5,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-018057,001ON0000074VH8,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-010873,001ON00000AS8ZF,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-018055,001ON00000IQ7D2,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-018051,001ON00000JFZVU,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-010877,001ON00000JFAOT,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-018056,001ON00000JFAVG,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-017982,0012T0000034LZU,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-010869,0012T0000034U6X,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018045,0012T0000034U6X,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010765,0012T0000034NCJ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017908,0012T0000034NCJ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010821,0012T0000034WXN,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017984,0012T0000034WXN,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010846,0012T00000360LU,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018023,0012T00000360LU,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
