detailedItemId,detailedItemName,itemId
DITM-000530,Process control & instrumentation (PLC/SCADA),ITM-002348
DITM-000529,"Dust collectors, scrubbers, and gas handling",ITM-002726
DITM-000528,Precipitation Tanks,ITM-002397
DITM-000527,Leach Reactors/Tanks,ITM-002397
DITM-000526,Filter Presses (for hydromet residues),ITM-009395
DITM-000525,Thickeners and Clarifiers,ITM-004221
DITM-000524,Slurry Pumps (e.g. Warman-type),ITM-001591
DITM-000523,Disc or Pressure Filters,ITM-009395
DITM-000522,Ceramic Filters,ITM-003566
DITM-000521,SAG/Ball Mills,ITM-009354
DITM-000520,IsaMill/Ultra-fine grinders,ITM-009354
DITM-000519,High-Pressure Grinding Rolls (HPGR),ITM-009354
DITM-000518,"Loaders (LHDs, underground boggers)",ITM-004892
DITM-000517,Haul Trucks (surface and underground),ITM-002280
DITM-000516,"Drill Rigs (production, exploration, jumbos)",ITM-008243
DITM-000515,Conveyors,ITM-009184
DITM-000514,Synthetic Carpet,ITM-001721
DITM-000513,Wool Carpet,ITM-001717
DITM-000512,Clothing - Leisure,ITM-009904
DITM-000511,Clothing - Corporate/Formal,ITM-009904
DITM-000510,Clothing - Industrial,ITM-005164
DITM-000509,Clothing - Fire Services,ITM-005164
DITM-000508,Clothing - Ambulance/Paramedic,ITM-005164
DITM-000507,Clothing - Armed Forces,ITM-005164
DITM-000506,Clothing - Medical,ITM-005164
DITM-000505,Functional Textiles,ITM-009924
DITM-000504,Accessories,ITM-009498
DITM-000503,Footwear,ITM-002812
DITM-000502,Clothing,ITM-009904
DITM-000501,Face Shields,ITM-008412
DITM-000500,Reusable Fabric Masks,ITM-005153
DITM-000499,Reusable Gowns,ITM-004300
DITM-000498,Reusable textiles (curtains & more),ITM-009905
DITM-000497,Disposable Face Shields,ITM-008412
DITM-000496,Sterilisation Wraps,ITM-009196
DITM-000495,Surgical Warming Blankets,ITM-009205
DITM-000494,Isolation gowns,ITM-004300
DITM-000493,Respirator Masks,ITM-005153
DITM-000492,Surgical Masks,ITM-005153
DITM-000491,BIM - Associated Services,ITM-001419
DITM-000490,BIM - Emerging Technologies,ITM-001419
DITM-000489,BIM - Social and Economic (9D),ITM-001419
DITM-000488,BIM - Safety and Risk Analysis (8D),ITM-001419
DITM-000487,BIM - Facility Management (7D),ITM-001419
DITM-000486,BIM - Sustainability Analysis (6D),ITM-001419
DITM-000485,BIM - Cost (5D),ITM-001419
DITM-000484,BIM - Time (4D),ITM-001419
DITM-000483,BIM - Collaborative,ITM-001419
DITM-000482,BIM - 3D Modelling,ITM-001419
DITM-000481,Vent,ITM-009926
DITM-000480,Sensor,ITM-006327
DITM-000479,Refrigeration,ITM-009929
DITM-000478,Pipework,ITM-001562
DITM-000477,Motor,ITM-004293
DITM-000476,Heater,ITM-009927
DITM-000475,Furnace,ITM-009928
DITM-000474,Fan,ITM-001773
DITM-000473,Electrics,ITM-009931
DITM-000472,Ductwork,ITM-002108
DITM-000471,Control System,ITM-002350
DITM-000470,Condenser,ITM-009932
DITM-000469,Compressor,ITM-002679
DITM-000468,Chiller,ITM-002719
DITM-000467,Filter - Other,ITM-009925
DITM-000466,Filter - UV-C,ITM-009935
DITM-000465,Filter - Ionz,ITM-009936
DITM-000464,Filter - HEPA,ITM-009934
DITM-000463,Filter,ITM-009925
DITM-000462,Air Conditioning - Variable Refrigerant Unit,ITM-007368
DITM-000461,Air Conditioning - Split System Unit,ITM-007367
DITM-000460,Air Conditioning - Packaged Unit,ITM-002775
DITM-000459,Alarms,ITM-008625
DITM-000458,Batteries,ITM-001657
DITM-000457,Brakes,ITM-008433
DITM-000456,Horns/Bells,ITM-006218
DITM-000455,HVAC,ITM-002111
DITM-000454,Lighting (Exterior),ITM-009620
DITM-000453,Lighting (Interior),ITM-002283
DITM-000452,PA Systems,ITM-001774
DITM-000451,Wiring,ITM-002001
DITM-000450,Control and Monitoring Systems,ITM-006271
DITM-000449,Displays (External),ITM-008453
DITM-000448,Displays (Internal),ITM-002095
DITM-000447,Bodies,ITM-004380
DITM-000446,Bogies,ITM-006185
DITM-000445,Couplers and Buffers,ITM-009331
DITM-000444,Doors,ITM-008450
DITM-000443,External Decoration,ITM-004512
DITM-000442,Floor Coverings,ITM-008455
DITM-000441,Handrails,ITM-002523
DITM-000440,Internal Lining,ITM-008447
DITM-000439,Pantographs,ITM-006232
DITM-000438,Seats (Pass. and Driver),ITM-008505
DITM-000437,Suspension,ITM-008441
DITM-000436,Traction Motors and Gearbox,ITM-009611
DITM-000435,Wheelchair Access,ITM-007899
DITM-000434,Wheelsets and Axles,ITM-006188
DITM-000433,Windows,ITM-009578
DITM-000432,Track Adhesion Materials,ITM-009993
DITM-000431,Dehumidifier,ITM-009992
DITM-000430,Hospital Scrubs,ITM-009991
DITM-000429,"Disposable textiles (sheets, pillowcases & more)",ITM-009990
DITM-000428,"Reagent handling systems (acid tanks, pumps)",ITM-009989
DITM-000427,Modular skid fabrication and plant integration,ITM-009988
DITM-000426,Material Packaging,ITM-009987
DITM-000425,Spray Roasters,ITM-009986
DITM-000424,"Smelting Furnaces (ISASMELT, Ausmelt)",ITM-009985
DITM-000423,Rotary Kilns,ITM-009984
DITM-000421,Fluidised Bed Calciners,ITM-009982
DITM-000420,"Solvent Extraction Units (mixer-settlers, SX)",ITM-009981
DITM-000419,Ion Exchange Columns (CIX/CSX),ITM-009980
DITM-000418,Crystallisers,ITM-009979
DITM-000417,"Pipework, valves, and slurry hoses",ITM-009978
DITM-000416,"Magnetic Separators (WHGMS, LIMS, etc.)",ITM-009977
DITM-000415,"Gravity Separators (spirals, shaking tables)",ITM-009976
DITM-000414,"Flotation Cells (mechanical, column)",ITM-009975
DITM-000413,Cyclones and Classifiers,ITM-009974
DITM-000412,Mill Relining System,ITM-009973
DITM-000411,Jaw/Cone Crushers,ITM-009972
DITM-000410,Scrapers and water carts,ITM-009971
DITM-000409,Excavators (surface mining),ITM-009970
DITM-000408,Dredging Equipment (sand mining),ITM-009969
DITM-000407,Dozer Traps/Feeder Units,ITM-009968
DITM-000406,Bulldozers/Graders,ITM-009967
DITM-000404,Sports Court Flooring - Timber,ITM-001720
DITM-000401,Wind Turbine Control and Monitoring Solutions,ITM-008304
DITM-000400,Wind Tower Yaw System,ITM-009863
DITM-000399,Wind Tower Sections,ITM-009859
DITM-000397,Wind Tower Pitch Control System,ITM-009866
DITM-000396,Wind Tower Foundation Footings,ITM-009858
DITM-000395,Wind Tower Flanges,ITM-002136
DITM-000394,Wind Tower Bolts,ITM-002734
DITM-000393,Wind Tower Blade,ITM-009864
DITM-000392,Uninterruptible Power Supply,ITM-001665
DITM-000391,Tie-down Bolts,ITM-002046
DITM-000390,Synchronous Condensers,ITM-008690
DITM-000387,Steel Reinforcement/ Anchor Cage,ITM-002041
DITM-000385,Ring Main Unit,ITM-001627
DITM-000381,Nacelle Housing (including Spinner),ITM-009861
DITM-000380,Nacelle (Complete Solution),ITM-009028
DITM-000374,Generator - Nacelle,ITM-002629
DITM-000373,General Hydraulics and Oils,ITM-005142
DITM-000372,Gear Box - Nacelle,ITM-009960
DITM-000365,Drive Train - Nacelle,ITM-009862
DITM-000359,Associated Services - Logistics,ITM-003193
DITM-000353,Solar Tracking System,ITM-009856
DITM-000352,Solar Mounting Structures,ITM-002386
DITM-000351,Solar Inverters,ITM-002696
DITM-000350,Solar Cables and Connectors,ITM-008356
DITM-000348,PV Panel,ITM-002344
DITM-000340,Junction Box,ITM-007183
DITM-000335,Encapsulation Material - PV Panel,ITM-002344
DITM-000327,Clamps and Clips,ITM-009855
DITM-000324,Backsheet - Solar Panel,ITM-002344
DITM-000323,Wire Harness Assemblies,ITM-002287
DITM-000322,Switchboards,ITM-002727
DITM-000321,Surge Protection Devices (SPDs),ITM-002562
DITM-000319,Programmable Logic Controllers (PLC),ITM-003536
DITM-000318,Power Distribution Units/Boards,ITM-002370
DITM-000317,Power Conversion/Distribution Skids,ITM-002370
DITM-000316,MV Distribution Transformers,ITM-001644
DITM-000315,MV Cables,ITM-002994
DITM-000314,Mounting Hardware and System Assembly,ITM-002386
DITM-000312,Medium Voltage Switchgear,ITM-001627
DITM-000311,Isolation Units,ITM-007626
DITM-000310,Inverters,ITM-002696
DITM-000308,Energy Management System,ITM-009868
DITM-000307,Enclosure - Metal/Plastic,ITM-002372
DITM-000305,Electrical Control Cabinet/Panel,ITM-002350
DITM-000304,Electrical Contractor,ITM-001805
DITM-000302,Earthing System and Components,ITM-004210
DITM-000301,Copper Busbar and Chassis,ITM-002567
DITM-000300,Cooling System,ITM-008432
DITM-000299,Condition and Performance Monitoring Equipment,ITM-002271
DITM-000298,Circuit Breakers,ITM-002995
DITM-000297,Cable Clamps and Cleats,ITM-009855
DITM-000296,Battery Storage,ITM-001657
DITM-000295,Battery Modules,ITM-004280
DITM-000294,Battery Management System (BMS),ITM-001657
DITM-000293,Associated Services,ITM-009961
DITM-000292,Transportation,ITM-003193
DITM-000291,Prefabricated - Wall,ITM-001775
