sectorMappingId,sectorName
SM-000524,Critical Minerals
SM-000521,Critical Minerals
SM-000515,Critical Minerals
SM-000514,Critical Minerals
SM-000512,Critical Minerals
SM-000510,Critical Minerals
SM-000509,Critical Minerals
SM-000507,Critical Minerals
SM-000506,Critical Minerals
SM-000501,Critical Minerals
SM-000498,Critical Minerals
SM-000497,Critical Minerals
SM-000495,Critical Minerals
SM-000494,Critical Minerals
SM-000492,Critical Minerals
SM-000489,Critical Minerals
SM-000486,"Textiles, Clothing & Footwear"
SM-000485,"Textiles, Clothing & Footwear"
SM-000484,"Textiles, Clothing & Footwear"
SM-000483,"Textiles, Clothing & Footwear"
SM-000482,"Textiles, Clothing & Footwear"
SM-000481,"Textiles, Clothing & Footwear"
SM-000480,"Textiles, Clothing & Footwear"
SM-000479,"Textiles, Clothing & Footwear"
SM-000478,"Textiles, Clothing & Footwear"
SM-000477,"Textiles, Clothing & Footwear"
SM-000476,"Textiles, Clothing & Footwear"
SM-000475,"Textiles, Clothing & Footwear"
SM-000474,"Textiles, Clothing & Footwear"
SM-000472,"Textiles, Clothing & Footwear"
SM-000471,"Textiles, Clothing & Footwear"
SM-000470,"Textiles, Clothing & Footwear"
SM-000469,"Textiles, Clothing & Footwear"
SM-000467,"Textiles, Clothing & Footwear"
SM-000466,"Textiles, Clothing & Footwear"
SM-000465,"Textiles, Clothing & Footwear"
SM-000464,"Textiles, Clothing & Footwear"
SM-000463,"Textiles, Clothing & Footwear"
SM-000462,"Textiles, Clothing & Footwear"
SM-000461,Building Information Modelling
SM-000460,Building Information Modelling
SM-000459,Building Information Modelling
SM-000458,Building Information Modelling
SM-000457,Building Information Modelling
SM-000456,Building Information Modelling
SM-000455,Building Information Modelling
SM-000454,Building Information Modelling
SM-000453,Building Information Modelling
SM-000452,Building Information Modelling
SM-000451,HVAC
SM-000450,HVAC
SM-000449,HVAC
SM-000448,HVAC
SM-000447,HVAC
SM-000446,HVAC
SM-000445,HVAC
SM-000444,HVAC
SM-000443,HVAC
SM-000442,HVAC
SM-000440,HVAC
SM-000439,HVAC
SM-000438,HVAC
SM-000437,HVAC
SM-000436,HVAC
SM-000435,HVAC
SM-000434,HVAC
SM-000433,HVAC
SM-000432,HVAC
SM-000431,HVAC
SM-000430,HVAC
SM-000429,HVAC
SM-000428,Rolling Stock
SM-000427,Rolling Stock
SM-000426,Rolling Stock
SM-000425,Rolling Stock
SM-000424,Rolling Stock
SM-000423,Rolling Stock
SM-000422,Rolling Stock
SM-000421,Rolling Stock
SM-000420,Rolling Stock
SM-000419,Rolling Stock
SM-000418,Rolling Stock
SM-000417,Rolling Stock
SM-000416,Rolling Stock
SM-000415,Rolling Stock
SM-000414,Rolling Stock
SM-000413,Rolling Stock
SM-000412,Rolling Stock
SM-000411,Rolling Stock
SM-000410,Rolling Stock
SM-000409,Rolling Stock
SM-000408,Rolling Stock
SM-000407,Rolling Stock
SM-000406,Rolling Stock
SM-000404,Rolling Stock
SM-000403,Rolling Stock
SM-000402,Rolling Stock
SM-000401,Rolling Stock
SM-000405,Rolling Stock
SM-000441,HVAC
SM-000473,"Textiles, Clothing & Footwear"
SM-000468,"Textiles, Clothing & Footwear"
SM-000525,Critical Minerals
SM-000523,Critical Minerals
SM-000522,Critical Minerals
SM-000520,Critical Minerals
SM-000519,Critical Minerals
SM-000518,Critical Minerals
SM-000517,Critical Minerals
SM-000516,Critical Minerals
SM-000513,Critical Minerals
SM-000511,Critical Minerals
SM-000508,Critical Minerals
SM-000505,Critical Minerals
SM-000504,Critical Minerals
SM-000503,Critical Minerals
SM-000502,Critical Minerals
SM-000500,Critical Minerals
SM-000499,Critical Minerals
SM-000496,Critical Minerals
SM-000493,Critical Minerals
SM-000491,Critical Minerals
SM-000490,Critical Minerals
SM-000488,Critical Minerals
SM-000399,Renewables/ Wind
SM-000398,Renewables/ Wind
SM-000397,Renewables/ Wind
SM-000395,Renewables/ Wind
SM-000394,Renewables/ Wind
SM-000393,Renewables/ Wind
SM-000392,Renewables/ Wind
SM-000391,Renewables/ Wind
SM-000390,Renewables/ Wind
SM-000389,Renewables/ Wind
SM-000388,Renewables/ Wind
SM-000385,Renewables/ Wind
SM-000383,Renewables/ Wind
SM-000379,Renewables/ Wind
SM-000378,Renewables/ Wind
SM-000372,Renewables/ Wind
SM-000371,Renewables/ Wind
SM-000370,Renewables/ Wind
SM-000363,Renewables/ Wind
SM-000357,Renewables/ Wind
SM-000351,Renewables/ Solar
SM-000350,Renewables/ Solar
SM-000349,Renewables/ Solar
SM-000348,Renewables/ Solar
SM-000346,Renewables/ Solar
SM-000338,Renewables/ Solar
SM-000333,Renewables/ Solar
SM-000325,Renewables/ Solar
SM-000322,Renewables/ Solar
SM-000400,Renewables/ Wind
SM-000355,Renewables/ Solar
SM-000321,Renewables/ Battery
SM-000387,Renewables/ Wind
